Name,Link,College,Description,Considered on General Application?,Award,Deadline
Allan and Mary Taylor Memorial Scholarship in Arts and Sciences ,https://colorado.academicworks.com/opportunities/21688 ,College of Arts & Sciences, The Alan and Mary Taylor Memorial Scholarship is awarded to students who meet the following criteria:  Rising senior enrolled full-time with a declared major French or Linguists in the College of Arts & Sciences. Major GPA of 3.5 or higher and cumulative GPA of 3.2 or higher. Complete the CU Boulder General Scholarship Application.  Preference is given to students with demonstrated financial need.The Alan and Mary Taylor Memorial Scholarship is awarded to students who meet the following criteria: Rising senior enrolled full-time with a declared major French or Linguists in the College of Arts & Sciences. Major GPA of 3.5 or higher and cumulative GPA of 3.2 or higher. Complete the CU Boulder General Scholarship Application. Preference is given to students with demonstrated financial need. ,True,$1000-$3000 ,03/15/2024
Allison Preston Goodheart Scholarship in Arts and Sciences ,https://colorado.academicworks.com/opportunities/21572 ,College of Arts & Sciences, The Allison Preston Goodheart Scholarship is awarded to students who meet the following criteria:  Incoming first-year transfer current undergraduate or graduate student enrolled full-time with a declared major the College of Arts & Sciences. Have a high school GPA or CU GPA of 3.25 or higher. Demonstrated financial need as determined by the FASFA/CASFA. Submit the CU Boulder General Scholarship Application. Submit this scholarship application by the deadline.  Preference for students majoring in History Philosophy Psychology & Neuroscience Anthropology or English in that order. Recipients must complete 40 hours of community service during each semester of the award. Past recipients may competitively reapply for awards in subsequent years.The Allison Preston Goodheart Scholarship is awarded to students who meet the following criteria: Incoming first-year transfer current undergraduate or graduate student enrolled full-time with a declared major the College of Arts & Sciences. Have a high school GPA or CU GPA of 3.25 or higher. Demonstrated financial need as determined by the FASFA/CASFA. Submit the CU Boulder General Scholarship Application. Submit this scholarship application by the deadline. Preference for students majoring in History Philosophy Psychology & Neuroscience Anthropology or English in that order. Recipients must complete 40 hours of community service during each semester of the award. Past recipients may competitively reapply for awards in subsequent years. ,False,$3000-$5000 ,03/15/2024
Alteryx Analytics Scholarship Fund ,https://colorado.academicworks.com/opportunities/21895 ,Leeds School of Business, The Alteryx Corporate Scholarship is awarded to a Leeds student studying Management (Information Management track) Marketing and/or Accounting. Preference will be for students involved with the Office of Diversity Affairs and the Diverse Scholars Program.  In order to receive your scholarship funds you must remain a full-time student in the Leeds School of Business and maintain good academic standing. For Continuing Students/upperclassmen please be sure to fill out BOTH the CU Boulder Scholarship Application AND Leeds Supplemental Scholarship Application between November 1st and the March deadline for campus-based and Leeds- specific opportunities. If you have any questions regarding Leeds scholarships please contact LeedsBizScholarships@Colorado.edu If you have questions regarding campus based opportunities please contact the Office of Financial Aid at https://www.colorado.edu/scholarships/ask-us-question.The Alteryx Corporate Scholarship is awarded to a Leeds student studying Management (Information Management track) Marketing and/or Accounting. Preference will be for students involved with the Office of Diversity Affairs and the Diverse Scholars Program.  In order to receive your scholarship funds you must remain a full-time student in the Leeds School of Business and maintain good academic standing.For Continuing Students/upperclassmen please be sure to fill out BOTH the CU Boulder Scholarship Application AND Leeds Supplemental Scholarship Application between November 1st and the March deadline for campus-based and Leeds- specific opportunities. If you have any questions regarding Leeds scholarships please contact LeedsBizScholarships@Colorado.edu If you have questions regarding campus based opportunities please contact the Office of Financial Aid at https://www.colorado.edu/scholarships/ask-us-question. ,True,Varies ,03/15/2024
Alumni Association Boulder Chapter Scholarship ,https://colorado.academicworks.com/opportunities/21680 ,Alumni Association, Forever Buffs comes to life through the Alumni Association scholarship program! Contribution is one of the cornerstones of Forever Buffs and our alumni are excited to support students to ensure undergraduates have the same positive CU Boulder experience. The Alumni Association Boulder Chapter scholarship is available to incoming freshmen with a minimum 3.5 GPA. Students must have attended high school in the Boulder Valley School District.Forever Buffs comes to life through the Alumni Association scholarship program! Contribution is one of the cornerstones of Forever Buffs and our alumni are excited to support students to ensure undergraduates have the same positive CU Boulder experience. The Alumni Association Boulder Chapter scholarship is available to incoming freshmen with a minimum 3.5 GPA. Students must have attended high school in the Boulder Valley School District. ,False,$3500.00 ,03/15/2024
Alumni Association Chicago Chapter Scholarship ,https://colorado.academicworks.com/opportunities/14439 ,Alumni Association, Forever Buffs comes to life through the Alumni Association scholarship program! Contribution is one of the cornerstones of Forever Buffs and our alumni are excited to support students to ensure undergraduates have the same positive CU Boulder experience. The Alumni Association Chicago Scholarship is for incoming undergraduate freshmen students with a minimum 3.5 GPA. Students must have attended high school in the Chicago area.Forever Buffs comes to life through the Alumni Association scholarship program! Contribution is one of the cornerstones of Forever Buffs and our alumni are excited to support students to ensure undergraduates have the same positive CU Boulder experience. The Alumni Association Chicago Scholarship is for incoming undergraduate freshmen students with a minimum 3.5 GPA. Students must have attended high school in the Chicago area. ,False,$1500 ,03/15/2024
Alumni Association Denver Metro Chapter Scholarship ,https://colorado.academicworks.com/opportunities/22037 ,Alumni Association, Forever Buffs comes to life through the Alumni Association scholarship program! Contribution is one of the cornerstones of being a Forever Buff and our alumni are excited to support students to ensure undergraduates have the same positive CU Boulder experience. The Alumni Association Denver Metro Chapter Scholarship is for continuing undergraduate students with a minimum 3.25 GPA. Students must have attended high school in Adams Arapahoe Broomfield Denver Douglas or Jefferson County.Forever Buffs comes to life through the Alumni Association scholarship program! Contribution is one of the cornerstones of being a Forever Buff and our alumni are excited to support students to ensure undergraduates have the same positive CU Boulder experience. The Alumni Association Denver Metro Chapter Scholarship is for continuing undergraduate students with a minimum 3.25 GPA. Students must have attended high school in Adams Arapahoe Broomfield Denver Douglas or Jefferson County. ,False,$1500 ,03/15/2024
Alumni Association Gunnison Chapter Scholarship ,https://colorado.academicworks.com/opportunities/21958 ,Alumni Association, Forever Buffs comes to life through the Alumni Association scholarship program! Contribution is one of the cornerstones of being a Forever Buff and our alumni are excited to support students to ensure undergraduates have the same positive CU Boulder experience. The Alumni Association Gunnison Chapter Scholarship is for continuing undergraduate students with a minimum 3.25 GPA. Students must have attended high school in the Gunnison area.Forever Buffs comes to life through the Alumni Association scholarship program! Contribution is one of the cornerstones of being a Forever Buff and our alumni are excited to support students to ensure undergraduates have the same positive CU Boulder experience. The Alumni Association Gunnison Chapter Scholarship is for continuing undergraduate students with a minimum 3.25 GPA. Students must have attended high school in the Gunnison area. ,True,$2000 ,03/15/2024
Alumni Association Los Angeles Chapter Scholarship ,https://colorado.academicworks.com/opportunities/21805 ,Alumni Association, Forever Buffs comes to life through the Alumni Association scholarship program! Contribution is one of the cornerstones of being a Forever Buff and our alumni are excited to support students to ensure undergraduates have the same positive CU Boulder experience. The Alumni Association Los Angeles Chapter Scholarship is for continuing undergraduate students with a minimum 3.25 GPA. Students must have attended high school in the Los Angeles CA area.Forever Buffs comes to life through the Alumni Association scholarship program! Contribution is one of the cornerstones of being a Forever Buff and our alumni are excited to support students to ensure undergraduates have the same positive CU Boulder experience. The Alumni Association Los Angeles Chapter Scholarship is for continuing undergraduate students with a minimum 3.25 GPA. Students must have attended high school in the Los Angeles CA area. ,False,$1500.00 ,03/15/2024
Alumni Association NYC Chapter Scholarship ,https://colorado.academicworks.com/opportunities/21861 ,Alumni Association, Forever Buffs comes to life through the Alumni Association scholarship program! Contribution is one of the cornerstones of Forever Buffs and our alumni are excited to support students to ensure undergraduates have the same positive CU Boulder experience. The Alumni Association New York Chapter Scholarship is for continuing undergraduate students with a minimum 3.25 GPA. Students must have attended high school in the New York NY area.Forever Buffs comes to life through the Alumni Association scholarship program! Contribution is one of the cornerstones of Forever Buffs and our alumni are excited to support students to ensure undergraduates have the same positive CU Boulder experience. The Alumni Association New York Chapter Scholarship is for continuing undergraduate students with a minimum 3.25 GPA. Students must have attended high school in the New York NY area. ,True,$1000.00 ,03/15/2024
Alumni Association Orange County Chapter Scholarship ,https://colorado.academicworks.com/opportunities/23728 ,Alumni Association, Forever Buffs comes to life through the Alumni Association scholarship program! Contribution is one of the cornerstones of Forever Buffs and our alumni are excited to support students to ensure undergraduates have the same positive CU Boulder experience. The Alumni Association Orange County Chapter Scholarship is for returning undergraduate students with a minimum 3.25 GPA. Students must have graduated high school in the Orange County area.Forever Buffs comes to life through the Alumni Association scholarship program! Contribution is one of the cornerstones of Forever Buffs and our alumni are excited to support students to ensure undergraduates have the same positive CU Boulder experience. The Alumni Association Orange County Chapter Scholarship is for returning undergraduate students with a minimum 3.25 GPA. Students must have graduated high school in the Orange County area. ,False,$2500.00 ,03/15/2024
Alumni Association San Diego Chapter Scholarship ,https://colorado.academicworks.com/opportunities/17288 ,Alumni Association, Forever Buffs comes to life through the Alumni Association scholarship program! Contribution is one of the cornerstones of Forever Buffs and our alumni are excited to support students to ensure undergraduates have the same positive CU Boulder experience. The Alumni Association San Diego Chapter Scholarship is for both incoming and returning undergraduate students with a minimum 3.25 GPA. Students must have attended high school in the San Diego area.Forever Buffs comes to life through the Alumni Association scholarship program! Contribution is one of the cornerstones of Forever Buffs and our alumni are excited to support students to ensure undergraduates have the same positive CU Boulder experience. The Alumni Association San Diego Chapter Scholarship is for both incoming and returning undergraduate students with a minimum 3.25 GPA. Students must have attended high school in the San Diego area. ,False,$1500.00 ,03/15/2024
Alumni Association San Francisco Bay Area Chapter Scholarship ,https://colorado.academicworks.com/opportunities/23726 ,Alumni Association, Forever Buffs comes to life through the Alumni Association scholarship program! Contribution is one of the cornerstones of Forever Buffs and our alumni are excited to support students to ensure undergraduates have the same positive CU Boulder experience. The Alumni Association San Francisco Bay Area Scholarship is for incoming freshmen students with a minimum 3.25 GPA. Students must have graduated high school in the San Francisco Bay Area.Forever Buffs comes to life through the Alumni Association scholarship program! Contribution is one of the cornerstones of Forever Buffs and our alumni are excited to support students to ensure undergraduates have the same positive CU Boulder experience. The Alumni Association San Francisco Bay Area Scholarship is for incoming freshmen students with a minimum 3.25 GPA. Students must have graduated high school in the San Francisco Bay Area. ,False,$5000.00 ,03/15/2024
Alumni Association Washington DC Chapter Scholarship ,https://colorado.academicworks.com/opportunities/21430 ,Alumni Association, Forever Buffs comes to life through the Alumni Association scholarship program! Contribution is one of the cornerstones of Forever Buffs and our alumni are excited to support students to ensure undergraduates have the same positive CU-Boulder experience. The Alumni Association Washington DC Chapter Scholarship is for continuing undergraduate students at the University of Colorado Boulder with a minimum 3.0 GPA. Students must have attended high school in the Washington DC area.Forever Buffs comes to life through the Alumni Association scholarship program! Contribution is one of the cornerstones of Forever Buffs and our alumni are excited to support students to ensure undergraduates have the same positive CU-Boulder experience. The Alumni Association Washington DC Chapter Scholarship is for continuing undergraduate students at the University of Colorado Boulder with a minimum 3.0 GPA. Students must have attended high school in the Washington DC area. ,True,$2000.00 ,03/15/2024
Alumni Legacy Scholarship for Freshmen ,https://colorado.academicworks.com/opportunities/21676 ,Alumni Association, When a family makes it a tradition to attend CU Boulder it’s something to be proud of. The Alumni Association’s Buffalo Legacy program honors students who had a parent step-parent or grandparent graduate from CU Boulder. This scholarship is open to incoming first-time students with a GPA of 3.5+ who demonstrate through their essays a strong connection to the University of Colorado Boulder and their Buffalo Legacy.When a family makes it a tradition to attend CU Boulder it’s something to be proud of. The Alumni Association’s Buffalo Legacy program honors students who had a parent step-parent or grandparent graduate from CU Boulder. This scholarship is open to incoming first-time students with a GPA of 3.5+ who demonstrate through their essays a strong connection to the University of Colorado Boulder and their Buffalo Legacy. ,False,$500 ,03/15/2024
Amy Willett Thelander Scholarship ,https://colorado.academicworks.com/opportunities/21477 ,None, The Amy Willett Thelander Scholarship is available to an entering first-year incoming students from Littleton Colorado. Preference is given to graduates of Columbine High School. Awards are based on financial need.The Amy Willett Thelander Scholarship is available to an entering first-year incoming students from Littleton Colorado. Preference is given to graduates of Columbine High School. Awards are based on financial need. ,True,$1500.00 ,03/15/2024
Andermarch Cicogna Endowed Scholarship in Arts and Sciences ,https://colorado.academicworks.com/opportunities/21537 ,College of Arts & Sciences, The Andermarch Cicogna Endowed Scholarship is awarded to students who meet the following criteria:  Current undergraduate enrolled full-time with a declared major or minor in Italian or major in Women and Gender Studies in the College of Arts and Sciences. Complete the CU Boulder General Scholarship Application.  This scholarship alternates annually between the Department of French and Italian and the Department of Women and Gender Studies. For the upcoming 2024-25 academic year the scholarship will be awarded to a student with a major or minor in Italian.The Andermarch Cicogna Endowed Scholarship is awarded to students who meet the following criteria: Current undergraduate enrolled full-time with a declared major or minor in Italian or major in Women and Gender Studies in the College of Arts and Sciences. Complete the CU Boulder General Scholarship Application.  ,True,$1000-$2000 ,03/15/2024
Andrea Rhodes and Frederick G. Gluck Scholarship in Cinema Studies ,https://colorado.academicworks.com/opportunities/21848 ,College of Arts & Sciences, The Andrea Rhodes and Frederick G. Gluck Scholarship is awarded to students in the Department of Cinema Studies and Moving Image Arts who meet the following criteria:  Must be an undergraduate student in the Department of Cinema Studies and Moving Image Arts. Must be enrolled in the Critical Studies track. Complete the CU Boulder General Scholarship Application. Complete this scholarship application by the deadline.  Preference will be given to students who are working on projects that involve other students in the Film Production track. The scholarship is awarded based primarily on the student’s academic achievement.The Andrea Rhodes and Frederick G. Gluck Scholarship is awarded to students in the Department of Cinema Studies and Moving Image Arts who meet the following criteria: Must be an undergraduate student in the Department of Cinema Studies and Moving Image Arts. Must be enrolled in the Critical Studies track. Complete the CU Boulder General Scholarship Application. Complete this scholarship application by the deadline. Preference will be given to students who are working on projects that involve other students in the Film Production track. The scholarship is awarded based primarily on the student’s academic achievement. ,False,upto$500 ,03/15/2024
